status,google_index,url_digits_ratio,domain_in_title,phish_hints,ip,?_url_count,len_url,/_url_count,hostname_len
1,1,0.0,0,0,0,0,33,3,11
1,1,0.17,1,3,1,0,100,8,18
1,1,0.15568862275449102,1,1,1,1,167,7,16
1,1,0.05263157894736842,1,0,0,0,38,4,16
0,1,0.06818181818181818,1,0,0,0,44,3,18
1,1,0.11764705882352941,0,0,0,0,17,3,5
1,1,0.14754098360655737,1,1,1,1,61,5,12
0,0,0.1,1,0,0,0,60,5,23
1,1,0.0,1,2,0,0,73,10,14
0,0,0.0,0,0,0,0,52,4,20
1,1,0.088,1,0,1,1,125,5,50
1,1,0.10606060606060606,1,1,0,1,132,5,22
1,1,0.0,1,0,0,0,38,3,29
1,1,0.08130081300813008,1,0,0,1,123,5,23
1,1,0.175,1,0,1,1,120,5,42
1,1,0.027777777777777776,1,0,0,0,36,5,14
1,1,0.11904761904761904,1,0,1,1,126,4,50
0,1,0.12,1,0,0,0,25,3,12
1,1,0.0,1,3,0,0,96,10,22
1,1,0.0625,1,0,0,1,48,3,14
1,0,0.0,0,2,0,0,52,4,16
0,0,0.039473684210526314,1,0,0,0,76,4,22
1,1,0.1510791366906475,1,0,1,1,139,4,54
0,0,0.0,1,0,0,0,62,5,25
0,0,0.0625,1,0,0,0,96,5,13
0,0,0.038461538461538464,1,0,0,0,26,2,19
0,1,0.09803921568627451,0,0,0,0,51,5,21
0,0,0.0,1,0,0,0,100,4,22
1,1,0.26373626373626374,1,3,1,0,91,7,22
0,0,0.140625,0,0,0,0,64,7,17
0,1,0.0,0,0,0,0,38,3,17
1,1,0.2786885245901639,1,1,1,0,122,8,31
0,1,0.08974358974358974,1,0,1,0,78,5,16
1,1,0.0,1,1,0,0,45,7,10
1,1,0.29411764705882354,0,0,1,0,85,3,77
1,1,0.024390243902439025,1,0,0,0,41,3,25
1,1,0.0425531914893617,1,1,0,0,47,6,14
0,1,0.08860759493670886,1,0,1,0,79,4,14
1,1,0.10344827586206896,1,0,0,1,58,5,19
1,1,0.17333333333333334,1,0,1,1,75,3,14
0,0,0.014084507042253521,0,0,0,1,71,5,15
0,0,0.0,0,0,0,0,82,6,16
1,1,0.1111111111111111,1,1,0,0,99,7,15
1,1,0.0,1,0,0,1,105,7,22
1,1,0.0,1,2,0,0,43,6,21
0,0,0.0,1,0,0,0,60,3,23
0,1,0.0,1,0,0,0,49,5,16
0,0,0.0,0,1,0,0,59,6,20
0,1,0.0,0,0,0,0,60,5,16
0,0,0.0,1,0,0,0,55,5,15
0,0,0.0,0,0,0,0,19,3,10
1,1,0.17870722433460076,1,1,0,0,263,6,214
0,0,0.047619047619047616,1,0,0,0,42,3,33
1,1,0.34545454545454546,1,1,1,0,165,3,21
1,1,0.1875,1,0,0,0,32,3,23
1,1,0.0,1,0,0,0,60,4,44
0,0,0.0,1,0,0,0,45,3,18
0,1,0.0,1,0,0,0,100,4,28
1,0,0.0,1,2,0,0,85,7,16
0,0,0.0,0,0,0,0,48,6,16
1,1,0.25,1,0,1,0,112,6,11
1,1,0.0,1,1,0,0,33,3,25
0,1,0.08333333333333333,0,0,0,0,48,4,23
1,1,0.0,1,2,0,0,94,6,43
0,0,0.08536585365853659,1,0,0,0,82,5,17
0,1,0.08620689655172414,1,0,0,0,58,4,25
0,0,0.15151515151515152,1,0,1,0,66,3,10
1,1,0.16666666666666666,1,0,0,0,24,3,16
1,1,0.11450381679389313,1,0,0,0,131,4,19
1,1,0.0,1,0,0,0,49,5,18
1,1,0.24719101123595505,0,0,1,0,89,3,81
0,0,0.10344827586206896,1,0,0,0,58,5,13
1,0,0.0,1,1,0,0,36,3,27
1,1,0.17105263157894737,1,0,1,0,76,4,50
1,1,0.17475728155339806,1,3,1,1,206,5,12
1,1,0.019230769230769232,1,0,0,1,52,3,14
1,1,0.0380952380952381,1,1,0,1,105,6,15
0,0,0.056338028169014086,1,0,0,0,71,7,14
1,1,0.25,1,0,1,0,32,3,24
1,1,0.10833333333333334,1,0,1,1,120,5,42
1,1,0.0,1,0,0,0,60,8,15
0,1,0.0,0,0,0,0,39,3,14
0,0,0.0,1,0,0,0,69,3,36
1,1,0.022222222222222223,1,0,0,0,45,4,32
0,0,0.0,1,0,0,0,90,4,15
0,0,0.0,1,0,0,0,40,3,27
1,1,0.0859375,1,0,1,1,128,5,50
0,0,0.0,1,0,0,0,51,4,22
1,1,0.041666666666666664,1,0,0,1,48,3,25
0,0,0.0,0,0,0,0,31,3,16
1,1,0.0,1,1,0,0,47,3,33
0,0,0.047058823529411764,1,0,0,0,85,6,20
0,0,0.022727272727272728,1,0,0,0,44,4,13
1,0,0.0,1,0,0,0,19,2,11
1,1,0.15503875968992248,1,0,1,1,129,5,54
1,1,0.14537444933920704,1,0,1,0,227,5,30
1,1,0.21641791044776118,1,0,1,1,134,6,24
0,0,0.0,1,0,0,0,49,3,19
0,0,0.05454545454545454,0,0,0,0,110,6,13
1,1,0.0,1,2,0,0,50,3,18
1,1,0.431924882629108,0,2,1,1,213,5,18
1,1,0.10256410256410256,1,0,0,0,39,4,22
0,0,0.1282051282051282,1,0,0,0,39,4,21
1,1,0.1240506329113924,1,2,0,0,395,7,15
1,1,0.23333333333333334,1,1,1,0,90,7,23
1,1,0.3709677419354839,1,0,1,0,62,5,10
0,0,0.2,0,0,0,0,25,3,16
1,1,0.0,1,4,0,1,97,9,17
1,1,0.275,1,0,1,0,80,5,13
1,0,0.0,1,0,0,0,20,3,12
0,0,0.0,0,0,0,0,44,6,16
1,1,0.12289156626506025,1,1,0,0,415,4,16
0,1,0.04081632653061224,0,0,0,0,49,5,15
0,1,0.12,1,0,1,0,100,3,18
0,1,0.125,1,0,0,0,40,5,13
0,0,0.020833333333333332,0,0,0,0,48,3,25
1,1,0.0,1,0,0,1,43,4,15
0,1,0.0,0,0,0,0,48,5,17
0,0,0.06741573033707865,1,0,0,0,89,5,30
1,1,0.09565217391304348,1,4,0,0,115,10,29
1,1,0.0,1,1,0,0,45,5,24
1,1,0.06371191135734072,1,6,0,1,361,4,20
1,1,0.0,1,2,0,0,40,3,32
1,1,0.08571428571428572,1,2,0,0,70,10,16
1,1,0.0,1,0,0,0,45,3,26
0,1,0.0,1,0,0,0,56,5,19
0,0,0.15584415584415584,1,0,0,0,77,7,12
1,0,0.17857142857142858,1,0,1,1,84,3,6
1,1,0.0,1,0,0,0,37,4,25
1,0,0.0,1,0,0,0,68,6,37
1,1,0.14285714285714285,1,0,0,0,21,3,6
1,1,0.21621621621621623,1,1,1,1,148,11,16
1,1,0.10377358490566038,1,0,1,1,106,9,27
0,0,0.0,1,0,0,0,20,2,12
0,0,0.0,1,0,0,0,54,4,16
1,1,0.13559322033898305,1,0,1,1,118,4,42
1,1,0.3333333333333333,1,4,1,1,276,8,31
0,0,0.1282051282051282,1,0,0,1,39,3,16
0,0,0.07920792079207921,0,0,0,0,101,7,17
1,1,0.05555555555555555,1,0,0,0,36,3,27
1,1,0.1188118811881188,1,0,0,0,101,4,28
1,1,0.09090909090909091,1,0,0,0,55,5,18
1,1,0.022727272727272728,1,0,0,0,44,2,37
1,0,0.3426294820717131,1,2,1,1,251,3,17
1,1,0.21052631578947367,1,2,1,0,114,9,26
0,0,0.0,1,0,0,0,74,4,18
1,1,0.25609756097560976,1,0,1,1,328,7,38
0,0,0.0,1,0,0,0,48,4,22
1,1,0.0625,1,0,0,0,32,5,14
1,1,0.0,1,0,0,0,56,4,30
1,1,0.07792207792207792,1,3,0,0,77,8,12
1,0,0.014084507042253521,1,0,0,1,71,5,7
0,0,0.16260162601626016,0,1,1,0,123,6,17
0,0,0.0,1,0,0,0,77,4,20
0,1,0.07317073170731707,1,0,0,0,41,4,13
0,0,0.0,0,0,0,0,47,4,19
1,1,0.175,1,1,1,1,120,4,39
1,1,0.0,1,0,0,0,54,6,18
1,1,0.0,0,0,0,0,49,5,24
0,1,0.07936507936507936,0,0,0,0,63,6,17
1,1,0.17170111287758347,1,0,0,0,629,4,20
1,1,0.4453125,1,1,1,0,128,5,14
1,1,0.0,1,1,0,1,49,4,14
1,1,0.0,1,0,0,0,23,3,15
1,1,0.18686868686868688,1,4,1,2,396,5,68
0,1,0.0,0,0,0,0,42,4,15
0,0,0.0,1,0,0,0,18,2,11
1,1,0.027777777777777776,1,4,0,0,72,7,14
0,1,0.1111111111111111,0,0,0,0,45,5,14
1,0,0.25,1,0,1,0,28,3,20
1,1,0.12903225806451613,1,2,1,1,93,5,20
1,1,0.21495327102803738,1,3,1,0,107,10,19
0,1,0.04878048780487805,0,0,0,0,41,6,12
1,1,0.10526315789473684,1,0,0,0,38,4,23
0,1,0.0,0,0,0,0,46,3,11
1,1,0.0,1,4,0,0,80,9,13
0,0,0.0,1,0,0,0,73,4,15
0,0,0.0,0,0,0,0,48,5,15
1,1,0.14285714285714285,1,0,1,1,126,5,50
1,1,0.075,1,0,0,0,80,4,34
1,1,0.0,1,2,0,0,48,4,16
1,0,0.07894736842105263,1,1,0,0,38,3,30
0,1,0.125,1,0,0,0,32,3,20
1,1,0.5871559633027523,1,0,1,1,436,11,11
1,1,0.017857142857142856,1,2,0,0,56,5,15
1,1,0.15873015873015872,1,0,0,0,63,4,27
1,0,0.23297491039426524,1,0,1,1,279,5,16
1,1,0.0,1,0,0,0,128,16,18
1,1,0.01818181818181818,1,0,0,1,55,6,14
1,1,0.04,1,0,0,0,25,3,15
0,1,0.03636363636363636,1,0,0,0,55,5,24
0,0,0.0,1,0,0,0,69,4,23
1,1,0.1276595744680851,1,0,0,0,47,3,39
1,1,0.034482758620689655,0,0,0,0,29,3,14
1,1,0.2318840579710145,1,0,1,0,138,10,34
0,1,0.09523809523809523,0,0,0,0,63,5,14
0,0,0.0,0,0,0,0,46,4,16
0,1,0.0,1,0,0,0,89,4,11
1,0,0.12403100775193798,1,2,1,1,129,3,6
0,0,0.0,1,0,0,0,38,5,11
0,1,0.10714285714285714,0,0,0,0,56,6,19
1,1,0.0,1,3,0,0,69,6,17
1,0,0.03225806451612903,1,0,0,0,31,2,24
1,1,0.0,1,0,0,0,38,4,17
1,1,0.0,1,0,0,0,38,3,30
1,1,0.1991701244813278,1,0,1,0,241,6,63
1,1,0.0625,1,0,0,0,32,3,24
1,1,0.017543859649122806,1,0,0,0,57,6,14
1,1,0.0,1,2,0,0,52,5,20
0,1,0.1,1,0,0,0,80,8,17
1,1,0.2857142857142857,1,0,1,0,77,6,26
0,0,0.0,1,0,0,0,38,3,19
1,1,0.1523809523809524,1,0,1,0,105,6,21
1,1,0.15873015873015872,1,0,1,0,63,6,16
1,1,0.0,1,4,0,0,59,5,28
1,1,0.0,0,0,0,0,32,3,11
1,1,0.0,1,2,0,1,59,5,10
1,0,0.05555555555555555,1,0,0,1,54,5,17
1,1,0.1951219512195122,0,0,0,0,41,3,25
1,1,0.20689655172413793,1,0,1,0,58,3,31
0,0,0.0,1,0,0,0,68,4,24
1,1,0.2608695652173913,1,0,1,0,69,5,18
1,1,0.0,1,0,0,0,58,5,25
1,1,0.08333333333333333,1,2,0,0,60,8,22
1,1,0.19047619047619047,0,0,0,0,42,3,25
1,1,0.12121212121212122,1,0,1,0,99,5,11
1,1,0.07547169811320754,1,0,0,1,159,7,13
1,1,0.018518518518518517,1,1,0,0,54,5,21
1,1,0.023668639053254437,0,1,0,1,169,8,10
0,0,0.0,0,0,0,0,45,4,16
0,0,0.022222222222222223,0,1,0,0,45,4,18
1,1,0.12121212121212122,1,0,0,0,33,2,26
0,0,0.0,1,1,0,0,46,4,23
1,1,0.24509803921568626,1,2,1,0,102,7,23
1,0,0.0,1,0,0,0,48,6,19
1,1,0.22727272727272727,1,0,1,0,88,7,21
1,1,0.02631578947368421,1,0,0,0,38,3,22
1,1,0.18253968253968253,1,0,1,1,126,5,50
1,1,0.1455223880597015,1,0,0,1,268,5,26
0,0,0.0,1,0,0,0,60,3,51
1,1,0.13793103448275862,1,0,1,0,58,3,49
1,1,0.0,1,0,0,0,29,3,13
1,1,0.07692307692307693,1,0,0,0,52,5,11
0,1,0.07894736842105263,1,0,0,0,76,5,12
1,1,0.09302325581395349,1,0,0,1,43,3,14
0,0,0.0,0,0,0,0,33,4,14
1,1,0.0,1,0,0,0,28,3,13
0,0,0.06593406593406594,1,0,0,0,91,5,25
1,0,0.05128205128205128,1,0,0,1,39,3,9
1,1,0.0625,1,0,0,0,48,3,31
1,1,0.058823529411764705,1,0,0,0,51,6,21
0,0,0.0,0,0,0,0,82,6,17
0,0,0.13793103448275862,1,0,1,0,58,5,14
1,1,0.2184873949579832,1,0,1,1,119,5,42
0,0,0.0,1,0,0,0,69,5,21
1,1,0.09090909090909091,1,0,1,1,132,4,50
0,1,0.05,1,2,0,0,80,5,27
1,1,0.17557251908396945,1,0,1,1,131,5,54
0,0,0.0,0,0,0,0,77,6,19
1,1,0.07894736842105263,0,1,0,0,38,5,13
0,0,0.14754098360655737,0,0,1,1,61,4,21
0,1,0.0125,1,0,0,0,80,6,19
0,0,0.006493506493506494,0,1,0,0,154,8,14
1,0,0.4787234042553192,1,2,1,1,188,3,13
1,1,0.0,1,0,0,0,43,3,21
0,0,0.0,0,0,0,0,30,3,18
0,0,0.041666666666666664,1,0,0,0,48,4,18
1,0,0.0,1,1,0,1,98,7,23
0,0,0.01639344262295082,1,0,0,0,61,5,15
1,1,0.0,1,0,0,0,65,4,33
1,1,0.021739130434782608,1,0,0,0,46,4,17
0,1,0.05263157894736842,0,0,0,1,76,3,14
0,0,0.06504065040650407,1,0,0,0,123,7,39
0,0,0.03571428571428571,1,0,0,0,28,3,13
0,1,0.0,0,1,0,0,46,3,19
1,1,0.0,1,0,0,0,34,3,19
0,0,0.0,1,0,0,0,21,3,13
0,0,0.0,1,0,0,0,30,3,15
0,0,0.0,0,0,0,0,56,4,16
0,1,0.0,1,0,0,0,33,3,25
1,1,0.0,1,0,0,0,43,6,10
1,1,0.07142857142857142,0,1,0,1,70,3,43
0,0,0.0,1,0,0,0,66,3,22
1,1,0.33962264150943394,1,1,1,0,159,3,17
1,1,0.0,1,1,0,0,45,3,24
0,0,0.0,0,0,0,0,65,4,16
0,1,0.13333333333333333,1,0,0,0,45,4,24
1,0,0.0,1,2,0,0,39,3,31
0,0,0.09090909090909091,1,0,0,0,66,7,19
0,0,0.0,0,0,0,0,40,5,17
1,1,0.0,0,0,0,0,28,4,12
1,1,0.14285714285714285,1,0,0,1,42,5,8
0,0,0.10810810810810811,0,2,1,0,111,3,19
1,0,0.0,1,0,0,0,26,2,18
0,0,0.07575757575757576,0,0,0,0,66,3,23
0,0,0.04819277108433735,1,0,0,0,83,6,12
0,0,0.0,0,0,0,0,99,6,16
1,1,0.0,1,1,0,0,87,4,51
0,0,0.0,1,1,0,0,36,4,23
0,0,0.0,1,0,0,0,41,6,21
1,1,0.0,0,0,0,0,47,7,14
1,1,0.0,1,3,0,0,56,7,11
1,1,0.11363636363636363,1,1,0,0,44,3,26
0,0,0.0,1,0,0,0,34,5,13
1,1,0.0975609756097561,1,0,0,1,41,4,16
1,1,0.125,1,0,1,0,56,5,28
1,1,0.0,1,3,0,0,55,7,19
0,0,0.11363636363636363,1,0,0,0,44,6,17
1,1,0.0,1,1,0,0,60,6,27
0,0,0.03508771929824561,1,0,0,0,57,4,17
0,1,0.043478260869565216,1,0,0,0,92,7,27
1,1,0.25,1,4,1,1,164,8,16
1,1,0.24043715846994534,1,0,1,0,183,8,37
0,0,0.0,0,0,0,0,48,3,16
0,1,0.0,1,0,0,0,49,3,41
1,1,0.0,1,0,0,1,39,4,23
1,1,0.02857142857142857,1,0,0,0,35,4,10
0,1,0.140625,0,0,1,0,64,6,16
1,1,0.12727272727272726,0,0,1,1,110,6,15
0,0,0.0,1,0,0,0,38,5,12
1,1,0.20526315789473684,1,0,0,1,190,7,13
0,1,0.0,1,0,0,0,91,4,18
0,0,0.08064516129032258,1,0,0,0,62,7,16
1,1,0.0,1,0,0,0,45,3,37
1,1,0.015873015873015872,1,0,0,0,63,3,29
1,0,0.14130434782608695,1,1,1,1,92,3,17
0,1,0.03773584905660377,1,0,0,1,53,5,18
1,1,0.0,1,0,0,0,44,5,17
1,1,0.08333333333333333,1,0,0,0,24,4,10
0,0,0.02040816326530612,0,0,0,0,49,5,15
0,0,0.09411764705882353,0,0,0,0,85,7,18
1,0,0.21428571428571427,0,1,1,2,98,7,16
1,1,0.058823529411764705,1,0,0,0,34,3,20
0,0,0.0,1,0,0,0,69,4,18
1,1,0.0,1,0,0,0,38,3,15
1,1,0.0,1,1,0,0,50,5,12
1,1,0.0,1,3,0,0,49,7,17
1,1,0.18309859154929578,1,0,1,1,71,3,14
0,0,0.0,1,0,0,0,44,5,22
1,1,0.0,1,1,0,0,31,3,23
1,0,0.42105263157894735,1,0,1,0,19,3,11
0,1,0.10434782608695652,1,0,1,0,115,8,11
1,1,0.0,1,0,0,0,39,4,22
1,1,0.031746031746031744,1,0,0,0,63,2,56
0,0,0.1282051282051282,1,0,0,0,39,6,7
1,1,0.02666666666666667,1,0,0,0,75,10,14
1,1,0.24489795918367346,1,1,1,0,147,11,24
1,1,0.25,1,1,1,1,40,4,13
1,1,0.23529411764705882,1,0,1,0,102,11,13
0,0,0.0,0,0,0,0,34,3,16
1,1,0.0,1,1,0,0,39,5,19
0,0,0.0,0,1,0,0,43,4,14
1,1,0.2606060606060606,0,1,1,1,165,4,16
0,0,0.0,0,0,0,0,71,6,15
0,0,0.0,0,0,0,0,39,4,15
1,1,0.02631578947368421,1,0,0,0,38,3,30
0,0,0.0,1,0,0,0,67,4,36
0,0,0.08928571428571429,0,0,0,0,56,4,15
0,0,0.14444444444444443,1,1,1,0,90,8,17
0,0,0.0,1,0,0,0,47,4,19
1,1,0.0,1,0,0,0,49,4,31
0,0,0.0,1,0,0,0,45,4,19
1,1,0.0070921985815602835,1,2,0,0,141,12,13
1,1,0.0,1,0,0,0,31,3,22
1,0,0.17647058823529413,1,1,0,0,34,3,21
0,0,0.041666666666666664,1,0,0,0,24,2,17
1,1,0.010752688172043012,1,0,0,0,93,7,13
0,0,0.10526315789473684,1,0,0,0,19,2,12
0,0,0.041666666666666664,0,0,0,0,24,3,16
1,1,0.0,1,3,0,1,105,7,32
0,0,0.0,1,0,0,0,51,3,28
1,1,0.0,1,1,0,0,51,3,33
0,0,0.0,0,0,0,0,68,3,13
1,1,0.15708812260536398,1,3,0,1,261,5,13
0,1,0.08695652173913043,1,0,0,0,69,3,23
1,1,0.0,1,0,0,0,31,3,14
0,0,0.0,1,0,0,0,32,4,21
0,0,0.0,0,0,0,0,39,4,18
1,1,0.24468085106382978,1,1,1,0,94,11,12
1,1,0.034482758620689655,1,0,0,1,58,4,21
1,1,0.18382352941176472,1,1,1,1,136,4,13
1,1,0.0,1,0,0,0,75,9,23
1,1,0.018867924528301886,1,1,0,0,53,4,22
1,1,0.030303030303030304,1,0,0,0,33,2,26
1,1,0.5,1,0,1,0,114,5,68
0,0,0.0,1,0,0,0,86,5,21
0,0,0.0,1,1,0,0,30,3,22
1,1,0.23728813559322035,1,0,1,0,118,8,12
1,1,0.1956521739130435,1,0,1,0,46,4,34
0,1,0.0,0,0,0,0,80,7,12
0,0,0.0410958904109589,1,0,0,0,73,6,26
1,1,0.0,1,0,0,1,85,5,19
0,1,0.0,1,0,0,0,68,3,28
0,1,0.04838709677419355,1,0,0,0,62,6,11
1,1,0.10714285714285714,1,0,0,0,28,2,20
0,1,0.0,0,0,0,0,55,5,19
0,1,0.025,1,0,0,0,80,3,23
1,0,0.0,1,0,0,0,49,4,14
0,0,0.0,1,0,0,0,97,5,26
0,0,0.0,1,0,0,0,41,3,14
0,0,0.13636363636363635,0,0,0,0,44,4,17
0,1,0.0,0,0,0,0,83,6,15
0,0,0.0,1,0,0,0,38,3,30
1,1,0.02,1,0,0,1,50,3,37
1,0,0.07228915662650602,1,0,0,1,83,3,13
0,1,0.08571428571428572,1,0,0,0,70,4,19
0,0,0.0,1,0,0,0,48,4,19
0,0,0.0,0,0,0,0,40,4,17
1,0,0.0,1,0,0,0,23,3,15
1,1,0.0,1,1,0,0,44,6,9
1,1,0.0,1,4,0,0,74,9,19
1,1,0.2236842105263158,1,1,1,0,76,6,22
0,0,0.02631578947368421,1,0,0,0,38,3,18
1,0,0.0,0,0,0,0,21,3,13
0,0,0.0,1,1,0,0,84,5,21
1,0,0.0967741935483871,1,0,0,1,62,3,17
0,1,0.09859154929577464,0,0,1,0,71,6,16
0,0,0.0,1,0,0,0,33,4,16
0,1,0.0,0,0,0,0,57,4,17
1,1,0.0,1,0,0,0,36,3,16
0,1,0.0,0,0,0,0,30,4,12
1,1,0.24691358024691357,1,0,1,0,81,5,27
1,1,0.0,1,0,0,0,21,2,14
1,1,0.21893491124260356,1,1,1,1,169,4,10
0,1,0.0,0,0,0,0,45,3,15
1,1,0.30097087378640774,0,0,1,1,103,3,22
1,1,0.17796610169491525,1,0,1,1,118,4,42
1,1,0.0,1,1,0,0,48,5,20
0,0,0.0,1,0,0,0,50,4,27
1,1,0.0,1,1,0,0,44,3,26
1,1,0.0,1,1,0,0,41,5,19
1,1,0.2074074074074074,1,2,1,1,135,6,21
0,0,0.04,1,0,0,0,25,3,17
0,0,0.0,0,0,0,0,51,3,17
0,0,0.0,1,0,0,0,42,4,20
1,1,0.06896551724137931,1,0,0,0,29,2,22
1,0,0.391304347826087,1,0,1,0,69,3,20
0,1,0.0,0,0,0,0,34,4,11
1,1,0.20634920634920634,1,0,1,1,126,5,50
1,1,0.16129032258064516,1,0,1,0,62,6,31
0,0,0.0,1,0,0,0,38,3,29
